ru250m;pop_tot
19482506616250;105
19482506616500;32
19482506616750;24
19482506617000;22
19482506617250;25
19482506617500;2
19482506617750;15
19482506618000;12
19482506618750;78
19482506619000;115
19482506619250;11
19482506619500;13
19482506619750;24
19482506620000;76
19482506620250;26
19482506620500;9
19482506620750;15
19482506621000;15
19482506621250;21
19482506621500;4
19482506621750;5
19482506622000;10
19482506622250;1
19482506623500;69
19482506623750;100
19482506624000;206
19482506624250;84
19482506624500;20
19482506624750;36
19482506626250;2
19482506626500;86
19482506626750;360
19482506627000;193
19482506627250;53
19482506627500;21
19482506628500;67
19482506628750;130
19482506629000;75
19482506629250;3
19482506633750;6
19482506634000;3
19482506647250;5
19482506647500;33
19482506647750;13
19482506648000;7
19482506651750;2
19482506658000;11
19482506658250;7
19482506658500;4
19482506658750;2
19482506659250;5
19482506659500;4
19482506667500;12
19482506669500;16
19482506670000;3
19482506670250;9
19482506670500;16
19482506673500;5
19482506673750;5
19482506692000;17
19482506692250;6
19482506693750;1
19482506694000;10
19482506694250;13
19482506717500;9
19482506727750;2
19482506728500;2
19482506728750;11
19482506730750;84
19482506731000;3
19482506731500;3
19482506732000;7
19482506746750;5
19482506747000;9
19482506747250;7
19482506748250;27
19482506748750;1
19482506749500;5
19482506784000;2
19482506784250;1
19482506784500;2
19482506813000;1
19482506813500;4
19482506813750;1
19482506814000;2
19482506816000;5
19482506816250;2
19482506819750;2
19482506838500;1
19485006604500;2
19485006610500;26
19485006610750;91
19485006611000;163
19485006611250;114
19485006611500;80
19485006611750;131
19485006612000;100
19485006612250;57
19485006612500;128
19485006612750;42
19485006613000;83
19485006613750;3
19485006614500;89
19485006614750;22
19485006615000;6
19485006615250;1
19485006615500;37
19485006615750;12
19485006616000;3
19485006616250;12
19485006616500;16
19485006616750;23
19485006617000;5
19485006618750;99
19485006619000;159
19485006619250;19
19485006619500;46
19485006619750;41
19485006620000;167
19485006620250;95
19485006620500;8
19485006621000;39
19485006621250;8
19485006621500;6
19485006621750;17
19485006622000;7
19485006622250;3
19485006622500;2
19485006623500;121
19485006623750;172
19485006624000;145
19485006624250;84
19485006624500;51
19485006624750;21
19485006626000;72
19485006626250;301
19485006626500;43
19485006626750;189
19485006627000;131
19485006627250;192
19485006627500;151
19485006627750;104
19485006628000;125
19485006628250;41
19485006628500;165
19485006628750;223
19485006629000;22
19485006629250;28
19485006629500;10
19485006633250;3
19485006633500;11
19485006633750;11
19485006634000;2
19485006647500;42
19485006647750;18
19485006648000;46
19485006648250;7
19485006651750;2
19485006652250;1
19485006658250;10
19485006658500;10
19485006658750;5
19485006659000;1
19485006659250;11
19485006666000;3
19485006666250;2
19485006669500;29
19485006669750;37
19485006670000;4
19485006670250;3
19485006692000;3
19485006692250;18
19485006692500;7
19485006711500;20
19485006711750;4
19485006716500;2
19485006716750;4
19485006730750;16
19485006731250;3
19485006731500;14
19485006731750;10
19485006732500;9
19485006732750;23
19485006733000;12
19485006736750;1
19485006740250;9
19485006740500;23
19485006740750;9
19485006746250;17
19485006746500;13
19485006746750;28
19485006747000;11
19485006747250;9
19485006747500;51
19485006747750;60
19485006748000;32
19485006748250;50
19485006748500;36
19485006748750;5
19485006749000;3
19485006812250;2
19485006812500;4
19485006813000;3
19485006813500;1
19487506605000;1
19487506605500;4
19487506606000;6
19487506606750;5
19487506609250;26
19487506609500;1
19487506610500;61
19487506610750;131
19487506611000;115
19487506611250;117
19487506611500;131
19487506611750;163
19487506612000;125
19487506612250;128
19487506612500;168
19487506612750;9
19487506613000;7
19487506613500;7
19487506613750;3
19487506614500;70
19487506614750;19
19487506615000;1
19487506616250;12
